EN;RU;AZ
Toiletry bags;Сумки для туалетных принадлежностей;Tualet çantaları
Outdoor toys;Уличные игрушки;Küçə oyuncaqları
Lamp;Фонарь;Lampa
Baby bottle;Бутылочки;Şüşə
Massage tools;Инструменты для массажа;Masaj vasitələri
Suitcase;Чемодан;Çamadan
Mic;Микрофон;Mikrofon
Bookcase;Книжный шкаф;Kitab şkafı
Remote control;Дистанционное управление;Uzaqdan nəzarət
Fishing Poles & Rods;Удочки и удилища;Balıqçılıq çubuqları və çubuqları
Vitamin;Витамин;Vitamin
Tray;Лоток;Tepsiya
Insect Repellent;Средство от насекомых;Həşərata qarşı dərman
Tea;Чай;Çay
Label;Этикетка;Etiket
Swimming accessories;Аксессуары для плавания;Üzmə aksesuarları
Seed;Семя;Toxum
Overalls;Комбинезон;Kombinezon
Personal care;Личная гигиена;Şəxsi gigiyena
Computer;Компьютер;Kompüter
Curtains & Blinds;Шторы и жалюзи;Pərdələr və pərdələr
Salt;Поваренная соль;Duz
Slipper;Тапочки;Terlik
Swimsuit;Купальник;Çimərlik geyimi
Nightgowns;Ночные рубашки;Gecə köynəkləri
Sweatshirt;Фуфайка;Sweatshirt
Trenchcoat;Плащ;Paltar
Gramophone;Граммофон;Gramofon
Bandanas;Банданы;Bandanalar
Chandelier;Люстра;Çilçıraq
Poncho;Пончо;Panço
Shorts;Шорты;Şort
Sport equipments;Спортивное оборудование;İdman avadanlığı
Napkin ;Салфетка;Salfet
Tights;Колготки;Tayt
Corset;Корсет;Korset
Saddle bags;Седельные сумки;Yəhər çantaları
Wedding dresses;Свадебные платья;Gelinliklər
Undershirt ;Майка;T-shirt
Sweatpants;Спортивные штаны;İdman şalvarı
Kerchief;Платок;Şal
Student set;Студенческий набор;Tələbə dəsti
Hair accessories;Аксессуары для волос;Saç aksesuarları
Guitar;Гитара;Gitara
Phone accessories;Аксессуары для телефона;Telefon aksesuarları
Armchair;Кресло;Kreslo
Foot Arch Supports;Опоры для стопы;Ayaq dayaqları
Bow tie;Галстук-бабочка;Kravat
Buttons;Кнопки;Düymələr
Key;Ключ;Açar
Teapot/Kettle;Чайник / Чайник;Çaydan / Çaydan
Cement;Цемент;Sement
Sponge;Губка;Süngər
Straw beach;Соломенный пляж;Sazlı çimərlik
Coffee pot;Кофейник;Qəhvə qazanı
Clay & Dough;Глина и тесто;Gil və xəmir
Basket;Корзина;Səbət
Case;Чехол;İş
Candle;Свеча;Şam
Hooka ;Кальян;Qəlyan
Necklace;Ожерелье;Boyunbağı
Clothespin;Прищепка;Pin
Sphygmomanometer;Сфигмоманометр;Sfiqmomanometr
Toothpaste;Зубная паста;Diş pastası
Steam engine;Паровой двигатель;Buxar mühərriki
Rope;Веревка;İp
Breast silicon;Силиконовая грудь;Silikon döş
Aspirator;Аспиратор;Aspirator
Coffee tables;Журнальные столики;Qəhvə masaları
Kitchen utensils;Кухонная утварь;Mətbəx əşyaları
Sewing machine;Швейная машина;Tikiş maşını
Glass;Стакан;Şüşə
Hanger;Вешалка;Askı
Undersheet;Нижний лист;Alt hesabatı
Camping Accessories;Аксессуары для кемпинга;Düşərgə aksesuarları
Chairs;Стулья;Kreslolar
Micro;Микро;Mikro
Door Stopper;Дверной стопор;Qapı tıxac
Pot;Горшок;Qazan
Carbonate;Карбонат;Karbonat
Poster;Плакат;Afişa
Doormats;Коврики;Xalçalar
Boxer;Боксер;Boksçu
Flat shoes;Обувь на плоской подошве;Düz ayaqqabı
Bathroom Accessories;Ванные принадлежности;Vanna otağı aksesuarları
Bot & Bootie;Ботинки;Çəkmə
Rucksack;Рюкзак;Sırt çantası
Sneaker;Кроссовки;İdman ayaqqabısı
Baby suits;Детские костюмы;Uşaq kostyumları
Knitted Cap;Вязаная шапка;Trikotaj şapka
Evening dress;Вечернее платье;Axşam donu
Sandals;Сандалии;Səndəllər
Basketball shoes;Баскетбольные кроссовки;Basketbol ayaqqabıları
Messenger bags;Сумки-мессенджеры;Messenger çantalar
Wallet;Кошелек;Pul kisəsi
Court shoes;Туфли-лодочки;Nasoslar
Trainers;Кросовки;İdman ayaqqabısı
House bootie ;Домик;Ev
Gym bags;Спортивные сумки;İdman çantaları
Boots;Сапоги;Çəkmə
School bag;Портфель;Portfel
Lunch Boxes & Bags;Ланч-боксы и сумки;Nahar qutuları və çantalar
Baby bodysuits;Детские боди;Körpə bədən paltarları
Shawl;Шаль;Şal
Peignoir;Пеньюар;Peignoir
Minerals;Минералы;Minerallar
Figures;Цифры;Nömrələri
Leather jacket;Кожаный пиджак;Dəri pencək
Eyeliner;карандаш для глаз;Göz layneri
Wedges;Клинья;Takozlar
Skin cleaning products;Средства для чистки кожи;Dəri təmizləyiciləri
Bra;Бюстгальтер;Sütyen
String;Строка;Xətt
Beach toys;Пляжные игрушки;Çimərlik oyuncaqları
Watch;Часы;Saat
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
